building_id,city,area,community,complex,building
1,abu dhabi,al reem island,city of lights,,radiant square
3,abu dhabi,al reem island,city of lights,,the boardwalk residence
4,abu dhabi,al reem island,city of lights,,marina bay
5,abu dhabi,al reem island,city of lights,,sigma towers
6,abu dhabi,al reem island,city of lights,,horizon towers
7,abu dhabi,al reem island,city of lights,,c4 tower
8,abu dhabi,al reem island,city of lights,,c6 tower
9,abu dhabi,al reem island,city of lights,,c5 tower
10,abu dhabi,al reem island,reem hills,,maskan
11,abu dhabi,al reem island,reem hills,,makany
12,abu dhabi,al reem island,reem hills,,majlis
13,abu dhabi,al reem island,reem hills,,canal side
14,abu dhabi,al reem island,reem hills,,reem avenue
15,abu dhabi,al reem island,reem hills,,manzel
16,abu dhabi,al reem island,reem hills,,amara
17,abu dhabi,al reem island,reem hills,,sunset valley
18,abu dhabi,al reem island,reem hills,,sierra views
19,abu dhabi,al reem island,reem hills,,aman
20,abu dhabi,al reem island,reem hills,,canal promenade
21,abu dhabi,yas island,mayan,,mayan 2
22,abu dhabi,yas island,mayan,,mayan 1
23,abu dhabi,yas island,mayan,,mayan 3
24,abu dhabi,yas island,mayan,,mayan 4
25,abu dhabi,yas island,mayan,,mayan 5
26,sharjah,muwaileh,al mamsha,,raseel
27,sharjah,muwaileh,al mamsha,,souks residential
28,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti corner
29,dubai,jumeirah village circle (jvc),jvc district 10,,squarex residence
30,dubai,jumeirah village circle (jvc),jvc district 10,,bloom towers
31,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti heights
32,dubai,jumeirah village circle (jvc),jvc district 10,,stonehenge residences
33,dubai,jumeirah village circle (jvc),jvc district 10,,elitz 2 by danube
34,dubai,jumeirah village circle (jvc),jvc district 10,,the autograph
35,dubai,jumeirah village circle (jvc),jvc district 10,,la residenza
36,dubai,jumeirah village circle (jvc),jvc district 10,,luma 22
37,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti house
38,dubai,jumeirah village circle (jvc),jvc district 10,,10 oxford
39,dubai,jumeirah village circle (jvc),jvc district 10,,the manhattan
40,dubai,jumeirah village circle (jvc),jvc district 10,,la riviera estates
41,dubai,jumeirah village circle (jvc),jvc district 10,,avanos residence
42,dubai,jumeirah village circle (jvc),jvc district 10,,riviera chalet
43,dubai,jumeirah village circle (jvc),jvc district 10,,tuscan residence
44,dubai,jumeirah village circle (jvc),jvc district 10,,may residence
45,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti orchid
46,dubai,jumeirah village circle (jvc),jvc district 10,,oxford 212
47,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti mirage
48,dubai,jumeirah village circle (jvc),jvc district 10,,hanover square
49,dubai,jumeirah village circle (jvc),jvc district 10,,la riviera azure
50,dubai,jumeirah village circle (jvc),jvc district 10,,le grand chateau
51,dubai,jumeirah village circle (jvc),jvc district 10,,empire suites
52,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti lavender
53,dubai,jumeirah village circle (jvc),jvc district 10,,rigel apartments
54,dubai,jumeirah village circle (jvc),jvc district 10,,plazzo heights
55,dubai,jumeirah village circle (jvc),jvc district 10,,gateway by premier choice
56,dubai,jumeirah village circle (jvc),jvc district 10,,la riviera apartments
57,dubai,jumeirah village circle (jvc),jvc district 10,,serenity lakes 5
