id,name,link,status,location,about,details,images,highlights
136,The Jewel Tower B,https://www.bayut.com/buildings/the-jewel-tower-b/,Ready, Dubai Marina,"The Jewel Tower B is a high-rise residential building in The Jewels. Cayan Property Developers and Palma Holding developed it. The building’s architecture features a unique design with curved corners, planned by award-winning architect RMJM and led by Hazel Wong. The construction started in 2005 and was completed in 2007.  The Jewel Tower B’s estimated height is 90 metres having 21 floors above ground and two floors below ground. The building offers spacious apartments from 1, 2, 3-bedroom units and penthouses with a private pool, offering a serene lifestyle in Dubai Marina. Complementing this extravagant tower is an array of amenities including a gym centre, the swimming pools, a multi-purpose lounge, sauna and changing rooms and a range of retail outlets.","['Type of building :  Residential', 'Location :  Dubai Marina', 'Developer :  Cayan Property Developers and Palma Holdings', 'Number of floors :  23', 'Unit type :  1, 2 and 3-bedroom apartments and penthouses', 'Type of ownership :  Freehold', 'Amenities :  Gym, swimming pool, kids’ nursery, sauna, business centre']","['https://assets.bayut.com/content/The_Jewel_B_Cover_24_12_c95c6a8b84.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_The_Jewels_Towers_Block_1_and_2_Waterfront_Walkways_20200210_3_bb46550cbc.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_The_Jewels_Towers_Block_1_and_2_0_Two_Supermarket_20200210_1_b2059a589f.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Walk_17_09_2020_59f65c6c5d.jpg?w=3840']","['Parking', 'Gym', 'Renting property', 'Buying property', 'ROI', 'Service charges', 'Getting around', 'Restaurants nearby']"
137,La Residencia Del Mar,https://www.bayut.com/buildings/la-residencia-del-mar/,Ready, Dubai Marina,"La Residencia Del Mar is a 15-storey apartment building in Dubai Marina offering apartments, penthouses and villas. The apartment building is developed by Palma Holding and designed by architects Khatib ",[],"['https://assets.bayut.com/content/La_Residence_del_mar_AR_210121_b45acbfbda.jpg?w=3840', 'https://assets.bayut.com/content/dubai_marina_mall_6_10_2020_cae7974f4b.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly?', 'Floor plans', 'Renting property', 'Buying property', 'ROI', 'Service charges', 'Getting around', 'Restaurants nearby']"
139,Marina Hotel Apartments,https://www.bayut.com/buildings/marina-hotel-apartments/,Ready, Dubai Marina,"Located along the gleaming water of Dubai Marina, Marina Hotel Apartments is a serviced apartment hotel that features a wide selection of accommodations. These serviced units include 1 to 3-bedroom apartments, along with 3-bedroom duplex and penthouses. Each of these accommodations is furnished and include all basic necessities of individuals. From large beds and built-in wardrobes to work desks and kitchen with all basic utilities. Aside from that, Marina Hotel Apartments offer individuals a variety of facilities that range from fitness to leisure. For leisure, there are sauna/steam rooms, room service and swimming pools for both adults and children. For fitness, there is a fully-equipped gym and sports courts available.",[],"['https://assets.bayut.com/content/Marina_Hotel_Apartments_Cover_20_04_4384e17f36.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Walk_marinahotelapartments_12022021_b366239812.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Renting properties', 'Getting around', 'Restaurants nearby']"
140,Marina Hotel Apartments,https://www.bayut.com/buildings/gargash-tower/,Ready, Dubai Marina,"Located along the gleaming water of Dubai Marina, Marina Hotel Apartments is a serviced apartment hotel that features a wide selection of accommodations. These serviced units include 1 to 3-bedroom apartments, along with 3-bedroom duplex and penthouses. Each of these accommodations is furnished and include all basic necessities of individuals. From large beds and built-in wardrobes to work desks and kitchen with all basic utilities. Aside from that, Marina Hotel Apartments offer individuals a variety of facilities that range from fitness to leisure. For leisure, there are sauna/steam rooms, room service and swimming pools for both adults and children. For fitness, there is a fully-equipped gym and sports courts available.",[],"['https://assets.bayut.com/content/Marina_Hotel_Apartments_Cover_20_04_4384e17f36.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Walk_marinahotelapartments_12022021_b366239812.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Renting properties', 'Getting around', 'Restaurants nearby']"
141,Al Sahab Tower,https://www.bayut.com/buildings/al-sahab-tower/,Ready, Dubai Marina,"Al Sahab Tower is a high-end two-tower complex in Dubai Marina. Al Sahab 1 and Al Sahab 2 have 44 and 24 floors above ground, respectively and are surrounded by excellent urban amenities. As per Bayut ",[],"['https://assets.bayut.com/content/Al_Sahab_Tower_23022021_b1dbf1d4f8.jpg?w=3840', 'https://assets.bayut.com/content/Al_Sahab_Towers_Parking_23022021_8c0dd84c73.jpg?w=3840', 'https://assets.bayut.com/content/DMCC_Metro_Station_2ca018dab2.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Mall_23022021_c3f43303c7.jpg?w=3840']","['Parking', 'Gym', 'Floor plans', 'Renting property', 'Buying property', 'ROI', 'Service charges', 'Getting around', 'Restaurants nearby']"
142,Barcelo Residences,https://www.bayut.com/buildings/barcelo-residences/,Ready, Dubai Marina,"Barcelo Residences is a high-rise hotel apartment building in Dubai Marina, a waterfront community featuring more than 200 luxurious residential towers, a seamless road network and a picturesque marina with luxury yachts. The building is a part of the Barcelo Hotel Group. The construction of the tower started in 2009 and was completed in 2015.",[],"['https://assets.bayut.com/content/Barcelo_Residences_Cover_12102020_9e7921a921.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Barcelo_Residences_Building_Image_fd389c564a.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Barcelo_Residences_Building_entrance_51205d0737.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Barcelo_Residences_Street_View_a596717800.jpg?w=3840', 'https://assets.bayut.com/content/DMCC_Metro_Station_12102020_7b9e36fe45.jpg?w=3840', 'https://assets.bayut.com/content/Park_Island_Towers_ca649ba158.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Mall_12102020_c1e835e0a9.jpg?w=3840']","['Parking', 'Gym', 'Renting property', 'Buying property', 'Getting around', 'Restaurants nearby']"
143,Durrat Al Marsa,https://www.bayut.com/buildings/durrat-al-marsa/,Ready, Dubai Marina,"Durrat Al Marsa is a mid-rise residential building in Dubai Marina. It stands 15 storeys above ground, housing a range of 1, 2 and 3-bedroom apartments that offer sea views. The Project Durrat Al Marsa is developed by Dorra Group and took two years to complete. Its construction began in the year 2005 and the tower was handed over in 2007.",[],"['https://assets.bayut.com/content/Durrat_Al_Marsa_Cover_08_10_73062288d7.jpg?w=3840', 'https://assets.bayut.com/content/JBR_Walk_1024x640_1_e22c7962c6.jpg?w=3840']","['Parking', 'Apartment types', 'Renting property', 'Getting around', 'Restaurants nearby', 'Supermarkets nearby']"
145,Sama 2,https://www.bayut.com/buildings/sama-2-abu-shagara/,Ready, Abu Shagara,"Sama 2 is a mixed-use building in Abu Shagara, Sharjah. The 18-storey tower is located on Salem Bin Omair Street, just a short drive from King Faisal Street. Properties offered in the building include apartments, offices and shops. Those looking to rent apartments in Sama 2 will find 1, 2 and 3-bedroom units as their choices.",[],"['https://assets.bayut.com/content/Sama_2_14062022_e894bd625f.jpg?w=3840', 'https://assets.bayut.com/content/Kraz_Supermarket_Abu_Shagara_14062022_4e1b3578ec.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majaz_Waterfront_Park_14062022_b91e2fdae8.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly?', 'Getting around', 'Restaurants nearby']"
146,Dar Al Aman Building,https://www.bayut.com/buildings/dar-al-aman-building-abu-shagara/,Ready, Abu Shagara,"Dar Al Aman Building is a 12-storey twin-tower in Abu Shagara, Sharjah. It offers 2 and 3-bedroom apartments with various facilities including covered parking, CCTV cameras, a well-decorated lobby and high-speed elevators. The complex is located close to Abu Shagara Park.","['Type of building :  Residential ', 'Location :  Abu Shagara', 'Number of floors :  12 storeys', 'Unit type :  2 and 3-bedroom apartments', 'Amenities :  High-speed elevators, lobby and CCTV cameras']","['https://assets.bayut.com/content/Dar_Al_Aman_Building_Abu_Shagara_Cover_27_01_98149f14f4.jpg?w=3840', 'https://assets.bayut.com/content/Sharjah_Aquarium_Dar_Al_Aman_Building_a376c3452c.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Renting property', 'Getting around', 'Restaurants nearby']"
147,Abdullah Al Dousery Building,https://www.bayut.com/buildings/abdullah-al-dousery-building/,Ready, Abu Shagara,"Abdullah Al Dousery Building is located in Abu Shagara, Sharjah. It has seven storeys above the ground that provides 2 and 3-bedroom apartments with different facilities.","['Type of building :  Residential ', 'Location :  Abu Shagara', 'Number of floors :  Seven storeys', 'Unit type :  2 and 3-bedroom apartments']","['https://assets.bayut.com/content/Abdulla_Al_Dousery_Building_Abu_Shagara_Cover_02_11_b6f2c58580.jpg?w=3840', 'https://assets.bayut.com/content/Sharjah_Aquarium_Abdullah_Al_Dousery_Building_44b46f5634.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Renting property', 'Getting around', 'Restaurants nearby']"
