,id,city,area,community,part,source
17,856,dubai,jumeirah village circle (jvc),jvc district 10,10 oxford,https://uae.dubizzle.com/
537,1477,dubai,downtown dubai,mohammad bin rashid boulevard,118 downtown,https://uae.dubizzle.com/
281,1221,dubai,business bay,15 northside,15 northside tower 1,https://uae.dubizzle.com/
280,1220,dubai,business bay,15 northside,15 northside tower 2,https://uae.dubizzle.com/
872,1812,dubai,jumeirah village circle (jvc),jvc district 14,1wood residence,https://www.bayut.com/
507,1447,dubai,downtown dubai,29 boulevard,29 boulevard 1,https://uae.dubizzle.com/
506,1446,dubai,downtown dubai,29 boulevard,29 boulevard 2,https://uae.dubizzle.com/
508,1448,dubai,downtown dubai,29 boulevard,29 boulevard podium,https://uae.dubizzle.com/
725,1665,dubai,dubai marina,5242 towers,5242 tower 1,https://uae.dubizzle.com/
726,1666,dubai,dubai marina,5242 towers,5242 tower 2,https://uae.dubizzle.com/
1451,2391,dubai,jumeirah village triangle (jvt),jvt district 1,555 park views,https://uae.dubizzle.com/
218,1158,dubai,jumeirah village circle (jvc),jvc district 17,7 park central,https://www.bayut.com/
940,1880,dubai,jumeirah village circle (jvc),jvc district 12,7 west residence,https://uae.dubizzle.com/
536,1476,dubai,downtown dubai,mohammad bin rashid boulevard,8 boulevard walk,https://uae.dubizzle.com/
874,1814,dubai,jumeirah village circle (jvc),jvc district 14,99 park place,https://www.bayut.com/
670,1610,abu dhabi,al reem island,marina square,a3 towers,https://www.bayut.com/
932,1872,dubai,jumeirah village circle (jvc),jvc district 12,ab cavalier,https://uae.dubizzle.com/
1175,2115,dubai,palm jumeirah,shoreline apartments,abu keibal,https://uae.dubizzle.com/
455,1395,dubai,dubai hills estate,park heights,acacia,https://www.bayut.com/
123,1063,dubai,jumeirah village circle (jvc),jvc district 11,aces chateau,https://uae.dubizzle.com/
320,1260,dubai,downtown dubai,opera district,act one | act two towers,https://www.bayut.com/
420,1360,dubai,dubai creek harbour,address harbour point,address harbour point tower 1,https://www.bayut.com/
419,1359,dubai,dubai creek harbour,address harbour point,address harbour point tower 2,https://www.bayut.com/
603,1543,dubai,dubai harbour,emaar beachfront,address the bay,https://www.bayut.com/
1290,2230,dubai,dubai creek harbour,aeon,aeon tower 1,https://uae.dubizzle.com/
1291,2231,dubai,dubai creek harbour,aeon,aeon tower 2,https://uae.dubizzle.com/
126,1066,dubai,jumeirah village circle (jvc),jvc district 11,ag residence,https://uae.dubizzle.com/
1536,2476,ajman,al rashidiya,al rashidiya 3,ajman one phase 2,https://www.bayut.com/
1535,2475,ajman,al rashidiya,al rashidiya 3,ajman one towers,https://www.bayut.com/
1020,1960,ajman,al rashidiya,al rashidiya 1,ajman tower,https://uae.dubizzle.com/
706,1646,abu dhabi,saadiyat island,saadiyat cultural district,ajwan towers,https://www.bayut.com/
840,1780,ajman,al yasmeen,al ameera village,al ameera village a1,https://www.bayut.com/
842,1782,ajman,al yasmeen,al ameera village,al ameera village a2,https://www.bayut.com/
843,1783,ajman,al yasmeen,al ameera village,al ameera village a3,https://www.bayut.com/
841,1781,ajman,al yasmeen,al ameera village,al ameera village a4,https://www.bayut.com/
753,1693,dubai,dubai marina,dubai marina towers,al anbar tower,https://uae.dubizzle.com/
1170,2110,dubai,palm jumeirah,shoreline apartments,al anbara,https://uae.dubizzle.com/
741,1681,abu dhabi,al raha beach,al bandar,al barza,https://www.bayut.com/
366,1306,dubai,palm jumeirah,shoreline apartments,al basri,https://www.bayut.com/
375,1315,dubai,palm jumeirah,shoreline apartments,al dabas,https://www.bayut.com/
916,1856,dubai,jumeirah village circle (jvc),jvc district 12,al dana tower,https://uae.dubizzle.com/
669,1609,abu dhabi,al reem island,marina square,al durrah tower,https://www.bayut.com/
756,1696,dubai,dubai marina,dubai marina towers,al fairooz tower,https://uae.dubizzle.com/
558,1498,dubai,al furjan,al furjan west,al furjan west pavilion,https://www.bayut.com/
247,1187,dubai,business bay,al habtoor city,al habtoor tower,https://uae.dubizzle.com/
364,1304,dubai,palm jumeirah,shoreline apartments,al hallawi,https://www.bayut.com/
369,1309,dubai,palm jumeirah,shoreline apartments,al hamri,https://www.bayut.com/
368,1308,dubai,palm jumeirah,shoreline apartments,al haseer,https://www.bayut.com/
1179,2119,dubai,palm jumeirah,shoreline apartments,al hatimi,https://uae.dubizzle.com/
1445,2385,dubai,jumeirah village triangle (jvt),jvt district 2,al jawhara residences,https://uae.dubizzle.com/
1090,2030,sharjah,muwaileh,al zahia,al jouri,https://uae.dubizzle.com/
1129,2069,ajman,al jurf,al jurf industrial area,al jurf industrial 2,https://uae.dubizzle.com/
1128,2068,ajman,al jurf,al jurf industrial area,al jurf industrial 3,https://uae.dubizzle.com/
1176,2116,dubai,palm jumeirah,shoreline apartments,al khudrawi,https://uae.dubizzle.com/
367,1307,dubai,palm jumeirah,shoreline apartments,al khushkar,https://www.bayut.com/
1088,2028,sharjah,muwaileh,al zahia,al lilac,https://uae.dubizzle.com/
735,1675,abu dhabi,al raha beach,al muneera,al maha,https://www.bayut.com/
668,1608,abu dhabi,al reem island,marina square,al maha tower,https://www.bayut.com/
1149,2089,sharjah,al majaz,al majaz 2,al maha tower,https://uae.dubizzle.com/
793,1733,dubai,dubai marina,al majara,al majara 1,https://uae.dubizzle.com/
794,1734,dubai,dubai marina,al majara,al majara 2,https://uae.dubizzle.com/
796,1736,dubai,dubai marina,al majara,al majara 3,https://uae.dubizzle.com/
795,1735,dubai,dubai marina,al majara,al majara 5,https://uae.dubizzle.com/
742,1682,abu dhabi,al raha beach,al bandar,al manara,https://www.bayut.com/
1438,2378,dubai,jumeirah village triangle (jvt),jvt district 4,al manara tower,https://uae.dubizzle.com/
755,1695,dubai,dubai marina,dubai marina towers,al mass tower,https://uae.dubizzle.com/
752,1692,dubai,dubai marina,dubai marina towers,al mesk tower,https://uae.dubizzle.com/
1145,2085,sharjah,al majaz,al majaz 3,al mohanad,https://uae.dubizzle.com/
365,1305,dubai,palm jumeirah,shoreline apartments,al msalli,https://www.bayut.com/
737,1677,abu dhabi,al raha beach,al muneera,al muneera townhouses island,https://www.bayut.com/
736,1676,abu dhabi,al raha beach,al muneera,al muneera townhouses mainland,https://www.bayut.com/
751,1691,dubai,dubai marina,dubai marina towers,al murjan tower,https://uae.dubizzle.com/
373,1313,dubai,palm jumeirah,shoreline apartments,al nabat,https://www.bayut.com/
732,1672,abu dhabi,al raha beach,al muneera,al nada,https://www.bayut.com/
1089,2029,sharjah,muwaileh,al zahia,al narjis,https://uae.dubizzle.com/
740,1680,abu dhabi,al raha beach,al bandar,al naseem,https://www.bayut.com/
743,1683,abu dhabi,al raha beach,al raha lofts,al raha lofts 1,https://www.bayut.com/
744,1684,abu dhabi,al raha beach,al raha lofts,al raha lofts 2,https://www.bayut.com/
733,1673,abu dhabi,al raha beach,al muneera,al rahba,https://www.bayut.com/
803,1743,dubai,dubai marina,al sahab tower,al sahab tower 1,https://uae.dubizzle.com/
802,1742,dubai,dubai marina,al sahab tower,al sahab tower 2,https://uae.dubizzle.com/
734,1674,abu dhabi,al raha beach,al muneera,al sana,https://www.bayut.com/
1177,2117,dubai,palm jumeirah,shoreline apartments,al sarrood,https://uae.dubizzle.com/
1335,2275,dubai,jumeirah lake towers (jlt),jlt cluster u,al seef tower 2,https://uae.dubizzle.com/
1334,2274,dubai,jumeirah lake towers (jlt),jlt cluster u,al seef tower 3,https://uae.dubizzle.com/
